FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,SEX,Sex (DESC),AGE,Age (DESC),EDU_LEV_HIGHEST,Highest level of education attained,,Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,64.498613,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,69.921839,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,99,Total, doctoral and specialization courses)',2021,71.02481,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y18-29,18-29 years,99,Total, doctoral and specialization courses)',2022,75.041838,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,13,'No educational degree, primary and lower secondary school certificate',2021,29.102798,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,13,'No educational degree, primary and lower secondary school certificate',2022,30.845756,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,7,Upper and post secondary, doctoral and specialization courses)',2021,62.727777,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,7,Upper and post secondary, doctoral and specialization courses)',2022,66.814043,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,74.364784,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,76.010958,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,99,Total, doctoral and specialization courses)',2021,93.073356,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-29,15-29 years,99,Total, doctoral and specialization courses)',2022,94.04313,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,13,'No educational degree, primary and lower secondary school certificate',2021,75.169662,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,13,'No educational degree, primary and lower secondary school certificate',2022,77.176592,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,7,Upper and post secondary, doctoral and specialization courses)',2021,93.681142,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,7,Upper and post secondary, doctoral and specialization courses)',2022,94.195741,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,75.857184,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,78.125137,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,99,Total, doctoral and specialization courses)',2021,94.760187,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y25-34,25-34 years,99,Total, doctoral and specialization courses)',2022,94.771823,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,13,'No educational degree, primary and lower secondary school certificate',2021,53.005148,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,13,'No educational degree, primary and lower secondary school certificate',2022,55.385262,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,7,Upper and post secondary, doctoral and specialization courses)',2021,86.84045,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,7,Upper and post secondary, doctoral and specialization courses)',2022,87.898461,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,60.843683,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,62.765241,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,99,Total, doctoral and specialization courses)',2021,89.858486,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-34,15-34 years,99,Total, doctoral and specialization courses)',2022,90.829998,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,13,'No educational degree, primary and lower secondary school certificate',2021,65.346021,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,13,'No educational degree, primary and lower secondary school certificate',2022,67.6552,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,7,Upper and post secondary, doctoral and specialization courses)',2021,83.122755,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,7,Upper and post secondary, doctoral and specialization courses)',2022,84.674615,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,55.366531,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,57.268868,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,99,Total, doctoral and specialization courses)',2021,83.121443,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-44,35-44 years,99,Total, doctoral and specialization courses)',2022,84.674719,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,13,'No educational degree, primary and lower secondary school certificate',2021,41.429012,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,13,'No educational degree, primary and lower secondary school certificate',2022,42.773031,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,7,Upper and post secondary, doctoral and specialization courses)',2021,72.564897,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,7,Upper and post secondary, doctoral and specialization courses)',2022,73.455965,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,46.180509,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,47.491543,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,99,Total, doctoral and specialization courses)',2021,77.304339,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y35-49,35-49 years,99,Total, doctoral and specialization courses)',2022,78.797346,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,13,'No educational degree, primary and lower secondary school certificate',2021,30.393243,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,13,'No educational degree, primary and lower secondary school certificate',2022,31.412832,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,7,Upper and post secondary, doctoral and specialization courses)',2021,64.865988,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,7,Upper and post secondary, doctoral and specialization courses)',2022,64.496319,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,38.653068,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,39.609691,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,99,Total, doctoral and specialization courses)',2021,73.883204,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y45-54,45-54 years,99,Total, doctoral and specialization courses)',2022,74.807781,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,13,'No educational degree, primary and lower secondary school certificate',2021,3.79338,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,13,'No educational degree, primary and lower secondary school certificate',2022,4.266907,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,7,Upper and post secondary, doctoral and specialization courses)',2021,27.643184,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,7,Upper and post secondary, doctoral and specialization courses)',2022,30.443432,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,17.209542,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,17.792554,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,99,Total, doctoral and specialization courses)',2021,51.601343,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y55-64,55-64 years,99,Total, doctoral and specialization courses)',2022,53.600787,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,13,'No educational degree, primary and lower secondary school certificate',2021,8.598095,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,13,'No educational degree, primary and lower secondary school certificate',2022,8.537704,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,7,Upper and post secondary, doctoral and specialization courses)',2021,51.601343,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,7,Upper and post secondary, doctoral and specialization courses)',2022,53.600787,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,31.630616,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,32.972757,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,99,Total, doctoral and specialization courses)',2021,69.671438,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-64,50-64 years,99,Total, doctoral and specialization courses)',2022,71.320994,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,13,'No educational degree, primary and lower secondary school certificate',2021,12.744939,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,13,'No educational degree, primary and lower secondary school certificate',2022,13.156726,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,7,Upper and post secondary, doctoral and specialization courses)',2021,62.812323,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,7,Upper and post secondary, doctoral and specialization courses)',2022,64.847887,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,39.13424,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,40.481466,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,99,Total, doctoral and specialization courses)',2021,82.368484,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y20-64,20-64 years,99,Total, doctoral and specialization courses)',2022,84.308751,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,13,'No educational degree, primary and lower secondary school certificate',2021,40.527208,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,13,'No educational degree, primary and lower secondary school certificate',2022,42.205966,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,7,Upper and post secondary, doctoral and specialization courses)',2021,83.698071,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,7,Upper and post secondary, doctoral and specialization courses)',2022,85.116757,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,42.571172,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,44.080701,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,99,Total, doctoral and specialization courses)',2021,87.070325,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-64,15-64 years,99,Total, doctoral and specialization courses)',2022,87.393951,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,13,'No educational degree, primary and lower secondary school certificate',2021,27.658395,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,13,'No educational degree, primary and lower secondary school certificate',2022,29.345673,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,7,Upper and post secondary, doctoral and specialization courses)',2021,77.135096,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,7,Upper and post secondary, doctoral and specialization courses)',2022,77.200211,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,32.555382,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,33.857945,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,99,Total, doctoral and specialization courses)',2021,81.524781,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-74,50-74 years,99,Total, doctoral and specialization courses)',2022,81.767718,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,13,'No educational degree, primary and lower secondary school certificate',2021,34.625423,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,13,'No educational degree, primary and lower secondary school certificate',2022,35.990459,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,7,Upper and post secondary, doctoral and specialization courses)',2021,76.369899,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,7,Upper and post secondary, doctoral and specialization courses)',2022,77.665324,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,29.030824,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,30.130561,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,99,Total, doctoral and specialization courses)',2021,76.36315,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-74,15-74 years,99,Total, doctoral and specialization courses)',2022,77.664613,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,13,'No educational degree, primary and lower secondary school certificate',2021,19.973163,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,13,'No educational degree, primary and lower secondary school certificate',2022,20.888999,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,7,Upper and post secondary, doctoral and specialization courses)',2021,64.751867,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,7,Upper and post secondary, doctoral and specialization courses)',2022,65.073872,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,22.40108,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,23.181117,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,99,Total, doctoral and specialization courses)',2021,71.520261,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y50-89,50-89 years,99,Total, doctoral and specialization courses)',2022,72.72181,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,13,'No educational degree, primary and lower secondary school certificate',2021,13.074505,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,13,'No educational degree, primary and lower secondary school certificate',2022,13.665073,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,7,Upper and post secondary, doctoral and specialization courses)',2021,60.02638,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,7,Upper and post secondary, doctoral and specialization courses)',2022,59.597258,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,16.99111,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,17.499055,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,99,Total, doctoral and specialization courses)',2021,69.791197,,
A,Annual,IT,Italy,EMP_R,Employment rate,1,Males,Y15-89,15-89 years,99,Total, doctoral and specialization courses)',2022,70.667271,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,13,'No educational degree, primary and lower secondary school certificate',2021,7.023808,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,13,'No educational degree, primary and lower secondary school certificate',2022,7.642801,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,7,Upper and post secondary, doctoral and specialization courses)',2021,24.907965,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,7,Upper and post secondary, doctoral and specialization courses)',2022,28.563532,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,27.113332,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,29.044698,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,99,Total, doctoral and specialization courses)',2021,50.109237,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-24,15-24 years,99,Total, doctoral and specialization courses)',2022,53.631803,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,13,'No educational degree, primary and lower secondary school certificate',2021,14.228672,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,13,'No educational degree, primary and lower secondary school certificate',2022,14.686194,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,7,Upper and post secondary, doctoral and specialization courses)',2021,50.109237,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,7,Upper and post secondary, doctoral and specialization courses)',2022,53.631803,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,50.341409,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,54.046234,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,99,Total, doctoral and specialization courses)',2021,70.212839,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y18-29,18-29 years,99,Total, doctoral and specialization courses)',2022,72.821708,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,13,'No educational degree, primary and lower secondary school certificate',2021,21.68627,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,13,'No educational degree, primary and lower secondary school certificate',2022,22.819252,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,7,Upper and post secondary, doctoral and specialization courses)',2021,62.778477,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,7,Upper and post secondary, doctoral and specialization courses)',2022,65.646153,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,59.057395,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,60.716765,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,99,Total, doctoral and specialization courses)',2021,86.592849,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-29,15-29 years,99,Total, doctoral and specialization courses)',2022,88.094542,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,13,'No educational degree, primary and lower secondary school certificate',2021,59.73748,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,13,'No educational degree, primary and lower secondary school certificate',2022,61.724719,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,7,Upper and post secondary, doctoral and specialization courses)',2021,87.704585,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,7,Upper and post secondary, doctoral and specialization courses)',2022,88.745397,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,60.220457,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,62.226124,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,99,Total, doctoral and specialization courses)',2021,90.354901,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y25-34,25-34 years,99,Total, doctoral and specialization courses)',2022,90.591847,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,13,'No educational degree, primary and lower secondary school certificate',2021,40.183906,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,13,'No educational degree, primary and lower secondary school certificate',2022,42.358721,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,7,Upper and post secondary, doctoral and specialization courses)',2021,81.687112,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,7,Upper and post secondary, doctoral and specialization courses)',2022,82.127023,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,46.802456,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,48.538501,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,99,Total, doctoral and specialization courses)',2021,85.34138,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y15-34,15-34 years,99,Total, doctoral and specialization courses)',2022,85.892625,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,13,'No educational degree, primary and lower secondary school certificate',2021,50.974061,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,13,'No educational degree, primary and lower secondary school certificate',2022,52.919807,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,7,Upper and post secondary, doctoral and specialization courses)',2021,79.183407,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,7,Upper and post secondary, doctoral and specialization courses)',2022,80.587916,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,42.990925,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,44.57015,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,99,Total, doctoral and specialization courses)',2021,79.178804,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-44,35-44 years,99,Total, doctoral and specialization courses)',2022,80.587552,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,13,'No educational degree, primary and lower secondary school certificate',2021,30.237858,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,13,'No educational degree, primary and lower secondary school certificate',2022,31.477164,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,7,Upper and post secondary, doctoral and specialization courses)',2021,68.464419,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,7,Upper and post secondary, doctoral and specialization courses)',2022,69.010738,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,11,'Tertiary (university, primary and lower secondary school certificate',2021,34.525109,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,11,'Tertiary (university, primary and lower secondary school certificate',2022,35.643671,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,99,Total, doctoral and specialization courses)',2021,73.986623,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y35-49,35-49 years,99,Total, doctoral and specialization courses)',2022,75.306503,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y45-54,45-54 years,13,'No educational degree, primary and lower secondary school certificate',2021,20.904658,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y45-54,45-54 years,13,'No educational degree, primary and lower secondary school certificate',2022,21.763274,,
A,Annual,IT,Italy,EMP_R,Employment rate,2,Females,Y45-54,45-54 years,7,Upper and post secondary, doctoral and specialization courses)',2021,62.390885,,
